"","geneSet"
"Group_PBMCs_Sample_PBMCs 1_2959139",0.0804347826086956
"Group_PBMCs_Sample_PBMCs 1_2965455",0.0680458158017765
"Group_PBMCs_Sample_PBMCs 1_2992703",0.146330060776064
"Group_PBMCs_Sample_PBMCs 1_2992898",0.0964001870032726
"Group_PBMCs_Sample_PBMCs 1_3055397",0.0466339410939691
"Group_PBMCs_Sample_PBMCs 1_3058668",0.100280504908836
"Group_PBMCs_Sample_PBMCs 1_3069774",0.0465404394576905
"Group_PBMCs_Sample_PBMCs 1_3122524",0.0720897615708275
"Group_PBMCs_Sample_PBMCs 1_3136360",0.101098644226274
"Group_PBMCs_Sample_PBMCs 1_3138031",0.11030855539972
"Group_PBMCs_Sample_PBMCs 1_3172490",0.0974988312295465
"Group_PBMCs_Sample_PBMCs 1_3178008",0.117484805984105
"Group_PBMCs_Sample_PBMCs 1_3225506",0.136676016830295
"Group_PBMCs_Sample_PBMCs 1_3254533",0.0445769050958392
"Group_PBMCs_Sample_PBMCs 1_3272764",0.103062178588125
"Group_PBMCs_Sample_PBMCs 1_3280909",0.0844319775596073
"Group_PBMCs_Sample_PBMCs 1_3281686",0.0730949041608228
"Group_PBMCs_Sample_PBMCs 1_3345360",0.0956287985039738
"Group_PBMCs_Sample_PBMCs 1_3353136",0.108812529219261
"Group_PBMCs_Sample_PBMCs 1_3359406",0.0868396446937821
"Group_PBMCs_Sample_PBMCs 1_3366978",0.302267414679757
"Group_PBMCs_Sample_PBMCs 1_3391355",0.0850864890135577
"Group_PBMCs_Sample_PBMCs 1_3396721",0.0351098644226274
"Group_PBMCs_Sample_PBMCs 1_3397134",0.0898550724637681
"Group_PBMCs_Sample_PBMCs 1_3406020",0.0991584852734923
"Group_PBMCs_Sample_PBMCs 1_3453883",0.0904628330995792
"Group_PBMCs_Sample_PBMCs 1_3455470",0.0915381019167835
"Group_PBMCs_Sample_PBMCs 1_3455593",0.0834969611968209
"Group_PBMCs_Sample_PBMCs 1_3456232",0.327279102384292
"Group_PBMCs_Sample_PBMCs 1_3469825",0.119822346891071
"Group_PBMCs_Sample_PBMCs 1_3523182",0.11161757830762
"Group_PBMCs_Sample_PBMCs 1_3532674",0.101963534361851
"Group_PBMCs_Sample_PBMCs 1_3535429",0.0896446937821412
"Group_PBMCs_Sample_PBMCs 1_3540196",0.06369798971482
"Group_PBMCs_Sample_PBMCs 1_3593527",0.114679756895746
"Group_PBMCs_Sample_PBMCs 1_3638610",0.0750818139317438
"Group_PBMCs_Sample_PBMCs 1_3654198",0.0906965871902758
"Group_PBMCs_Sample_PBMCs 1_3656238",0.0716923796166433
"Group_PBMCs_Sample_PBMCs 1_3670161",0.085203366058906
"Group_PBMCs_Sample_PBMCs 1_3720399",0.0801075268817204
"Group_PBMCs_Sample_PBMCs 1_3726189",0.0673211781206171
"Group_PBMCs_Sample_PBMCs 1_3738231",0.0899018232819074
"Group_PBMCs_Sample_PBMCs 1_3740191",0.0920757363253857
"Group_PBMCs_Sample_PBMCs 1_3754823",0.393291257597008
"Group_PBMCs_Sample_PBMCs 1_3779286",0.0820944366526414
"Group_PBMCs_Sample_PBMCs 1_3793998",0.0339644693782141
"Group_PBMCs_Sample_PBMCs 1_3797317",0.0608695652173913
"Group_PBMCs_Sample_PBMCs 1_3797870",0.112038335670874
"Group_PBMCs_Sample_PBMCs 1_3848395",0.141421224871435
"Group_PBMCs_Sample_PBMCs 1_3877438",0.0849228611500701
"Group_PBMCs_Sample_PBMCs 1_3917893",0.0873071528751753
"Group_PBMCs_Sample_PBMCs 1_3990983",0.0534128097241702
"Group_PBMCs_Sample_PBMCs 1_4047730",0.090135577372604
"Group_PBMCs_Sample_PBMCs 1_4047874",0.125105189340813
"Group_PBMCs_Sample_PBMCs 1_4047931",0.0865825151940159
"Group_PBMCs_Sample_PBMCs 1_4048924",0.101145395044413
"Group_PBMCs_Sample_PBMCs 1_4059173",0.0178821879382889
"Group_PBMCs_Sample_PBMCs 1_4068184",0.063627863487611
"Group_PBMCs_Sample_PBMCs 1_4074683",0.0479897148200093
"Group_PBMCs_Sample_PBMCs 1_4135861",0.0640252454417952
"Group_PBMCs_Sample_PBMCs 1_4137703",0.10275829827022
"Group_PBMCs_Sample_PBMCs 1_4155158",0.0043010752688172
"Group_PBMCs_Sample_PBMCs 1_4165526",0.14249649368864
"Group_PBMCs_Sample_PBMCs 1_4179221",0.0472650771388499
"Group_PBMCs_Sample_PBMCs 1_4253203",0.082258064516129
