,0,1,2,3,4,5,6,7,8,9
Group_PBMCs_Sample_PBMCs.1_2102492,4,15,0,4,2,21,5,6,1,1146
Group_PBMCs_Sample_PBMCs.1_2149553,1,10,2,9,557,160,13,9,3,6
Group_PBMCs_Sample_PBMCs.1_2187461,1,51,2,9,5,4,20,1104,0,4
Group_PBMCs_Sample_PBMCs.1_2201468,0,4,0,8,4,114,1,2085,1,8
Group_PBMCs_Sample_PBMCs.1_2259188,5,16,3,5,5,5,29,2455,5,6
Group_PBMCs_Sample_PBMCs.1_2259878,1,3,5,10,6,191,5,3378,1,4
Group_PBMCs_Sample_PBMCs.1_2293018,0,74,3,11,8,209,0,7,3,2035
Group_PBMCs_Sample_PBMCs.1_2314538,1,73,0,205,0,243,5,19,67,8
Group_PBMCs_Sample_PBMCs.1_2332898,1,21,4,6,4,2,9,18,13,5
Group_PBMCs_Sample_PBMCs.1_2373532,0,12,1,5,1,4,13,2350,1,7
Group_PBMCs_Sample_PBMCs.1_2375000,0,0,1,2,0,89,0,3,0,146
Group_PBMCs_Sample_PBMCs.1_2382445,2,93,3,6,7,111,2,14,1,1273
Group_PBMCs_Sample_PBMCs.1_2425365,0,66,2,4,4,20,9,13,0,1582
Group_PBMCs_Sample_PBMCs.1_2441671,2,128,1,4,1,2,36,2069,0,6
Group_PBMCs_Sample_PBMCs.1_2454072,3,10,4,11,3,251,6,2577,1,6
Group_PBMCs_Sample_PBMCs.1_2557592,3,1,2,6,4,259,4,7,0,493
Group_PBMCs_Sample_PBMCs.1_2561951,0,62,2,6,1,36,6,14,55,702
Group_PBMCs_Sample_PBMCs.1_2586703,2,80,4,239,5,135,6,22,56,332
Group_PBMCs_Sample_PBMCs.1_2595960,1,38,1,7,409,320,2,10,0,0
Group_PBMCs_Sample_PBMCs.1_2614523,1,14,2,3,722,154,0,7,1,7
Group_PBMCs_Sample_PBMCs.1_2630066,1,15,0,4,1,5,20,1575,0,2
Group_PBMCs_Sample_PBMCs.1_2637500,5,73,2,335,3,176,1,10,122,2
Group_PBMCs_Sample_PBMCs.1_2642664,6,3,0,9,804,124,5,24,0,2
Group_PBMCs_Sample_PBMCs.1_2670335,1,2,0,0,2,38,1,895,1,2
Group_PBMCs_Sample_PBMCs.1_2707569,0,73,2,294,8,177,6,17,153,69
Group_PBMCs_Sample_PBMCs.1_2716937,1,4,5,5,0,326,1,2383,0,3
Group_PBMCs_Sample_PBMCs.1_2741120,0,141,2,6,4,2,53,1668,0,4
Group_PBMCs_Sample_PBMCs.1_2773696,1,26,1,6,3,76,2,838,67,5
Group_PBMCs_Sample_PBMCs.1_2829864,3,36,0,152,3,55,1,10,87,101
Group_PBMCs_Sample_PBMCs.1_2851264,3,17,7,6,413,278,11,2201,3,4
Group_PBMCs_Sample_PBMCs.1_2900177,4,11,4,10,7,31,16,1908,2,7
Group_PBMCs_Sample_PBMCs.1_2905044,1,7,3,4,5,346,2,4102,2,6
Group_PBMCs_Sample_PBMCs.1_2908435,4,6,1,7,3,204,9,2136,0,7
Group_PBMCs_Sample_PBMCs.1_2925634,0,16,3,4,3,54,0,1088,1,2
Group_PBMCs_Sample_PBMCs.1_2930995,0,17,0,1,1,4,60,2366,1,4
Group_PBMCs_Sample_PBMCs.1_2932564,2,15,0,2,6,31,15,2995,1,5
Group_PBMCs_Sample_PBMCs.1_2935113,3,39,1,528,5,200,2,4,88,9
Group_PBMCs_Sample_PBMCs.1_2938798,3,105,3,3,4,2,37,12,144,1331
Group_PBMCs_Sample_PBMCs.1_2958092,6,143,4,31,13,486,11,22,28,660
Group_PBMCs_Sample_PBMCs.1_2959139,1,55,4,2,6,634,22,50,2,1909
Group_PBMCs_Sample_PBMCs.1_2965455,3,126,4,7,7,95,6,15,0,956
Group_PBMCs_Sample_PBMCs.1_2992703,0,99,2,556,6,87,1,15,74,195
Group_PBMCs_Sample_PBMCs.1_2992898,0,7,1,5,2,186,1,1942,0,6
Group_PBMCs_Sample_PBMCs.1_3055397,3,15,7,17,11,81,17,1170,5,2
Group_PBMCs_Sample_PBMCs.1_3058668,1,3,2,13,774,140,7,122,1,27
Group_PBMCs_Sample_PBMCs.1_3069774,3,147,1,629,6,271,1,19,195,12
Group_PBMCs_Sample_PBMCs.1_3122524,4,5,0,5,0,295,0,13,0,967
Group_PBMCs_Sample_PBMCs.1_3136360,0,29,2,11,4,93,8,1015,157,3
Group_PBMCs_Sample_PBMCs.1_3138031,0,53,3,10,0,37,4,7,29,5
Group_PBMCs_Sample_PBMCs.1_3172490,1,27,2,3,8,382,4,39,1,911
Group_PBMCs_Sample_PBMCs.1_3178008,1,61,2,2,3,133,2,8,76,1081
Group_PBMCs_Sample_PBMCs.1_3225506,1,13,2,7,2,1,71,2280,0,0
Group_PBMCs_Sample_PBMCs.1_3254533,0,0,4,7,154,231,4,22,1,5
Group_PBMCs_Sample_PBMCs.1_3272764,4,14,13,8,7,163,10,2154,2,9
Group_PBMCs_Sample_PBMCs.1_3280909,3,7,1,6,4,58,2,2424,0,7
Group_PBMCs_Sample_PBMCs.1_3281686,1,63,2,786,0,271,1,10,86,72
Group_PBMCs_Sample_PBMCs.1_3345360,2,5,5,10,8,13,6,1410,4,12
Group_PBMCs_Sample_PBMCs.1_3353136,1,80,2,7,3,67,4,1320,166,6
Group_PBMCs_Sample_PBMCs.1_3359406,4,24,1,10,5,454,7,19,0,1398
Group_PBMCs_Sample_PBMCs.1_3366978,26,144,50,9,5,53,22,150,4,4
Group_PBMCs_Sample_PBMCs.1_3391355,0,107,2,5,5,18,12,939,2,1251
Group_PBMCs_Sample_PBMCs.1_3396721,3,4,3,2,6,179,3,2355,1,2
Group_PBMCs_Sample_PBMCs.1_3397134,1,36,1,172,3,141,3,21,62,166
Group_PBMCs_Sample_PBMCs.1_3406020,2,25,6,10,10,5,60,1653,4,0
Group_PBMCs_Sample_PBMCs.1_3453883,1,5,2,2,1,173,4,2488,0,3
Group_PBMCs_Sample_PBMCs.1_3455470,1,16,3,5,2,9,32,1584,0,6
Group_PBMCs_Sample_PBMCs.1_3455593,4,166,6,3,6,83,4,7,2,1125
Group_PBMCs_Sample_PBMCs.1_3456232,15,225,50,78,13,29,8,133,4,9
Group_PBMCs_Sample_PBMCs.1_3469825,2,5,1,9,4,344,5,8,2,1399
Group_PBMCs_Sample_PBMCs.1_3523182,1,87,0,2,1,2,47,12,0,1187
Group_PBMCs_Sample_PBMCs.1_3532674,3,7,2,4,7,239,1,979,2,2
Group_PBMCs_Sample_PBMCs.1_3535429,1,65,5,384,3,255,3,17,95,35
Group_PBMCs_Sample_PBMCs.1_3540196,2,33,6,4,3,3,28,2118,1,3
Group_PBMCs_Sample_PBMCs.1_3593527,11,85,8,17,588,711,8,16,2,1466
Group_PBMCs_Sample_PBMCs.1_3638610,2,11,2,9,7,116,6,2320,2,3
Group_PBMCs_Sample_PBMCs.1_3654198,60,123,97,217,134,17,196,79,8,48
Group_PBMCs_Sample_PBMCs.1_3656238,4,137,2,12,3,14,48,13,4,1122
Group_PBMCs_Sample_PBMCs.1_3670161,0,2,2,1,3,14,4,247,1,4
Group_PBMCs_Sample_PBMCs.1_3720399,5,43,1,7,8,6,33,2408,5,7
Group_PBMCs_Sample_PBMCs.1_3726189,4,25,1,6,3,50,7,2331,0,18
Group_PBMCs_Sample_PBMCs.1_3738231,1,69,1,9,4,170,4,1026,126,3
Group_PBMCs_Sample_PBMCs.1_3740191,0,1,1,7,4,233,10,9,41,90
Group_PBMCs_Sample_PBMCs.1_3754823,8,11,387,14,10,6,134,172,1,10
Group_PBMCs_Sample_PBMCs.1_3779286,7,67,3,5,2,8,46,3568,3,13
Group_PBMCs_Sample_PBMCs.1_3793998,7,68,3,11,2,7,13,1394,2,57
Group_PBMCs_Sample_PBMCs.1_3797317,1,23,1,5,3,7,35,2086,0,0
Group_PBMCs_Sample_PBMCs.1_3797870,5,3,2,4,285,71,7,8,2,4
Group_PBMCs_Sample_PBMCs.1_3848395,6,56,4,5,8,323,7,58,24,442
Group_PBMCs_Sample_PBMCs.1_3877438,0,14,1,10,4,13,25,3012,2,8
Group_PBMCs_Sample_PBMCs.1_3917893,2,57,2,7,3,511,3,6,4,776
Group_PBMCs_Sample_PBMCs.1_3990983,0,121,4,11,8,4,128,3052,3,14
Group_PBMCs_Sample_PBMCs.1_4047730,1,61,3,7,6,22,36,15,1,2373
Group_PBMCs_Sample_PBMCs.1_4047874,0,3,2,2,256,274,2,8,0,6
Group_PBMCs_Sample_PBMCs.1_4047931,1,34,3,330,4,203,1,8,58,17
Group_PBMCs_Sample_PBMCs.1_4048924,0,20,2,8,490,211,4,13,0,1
Group_PBMCs_Sample_PBMCs.1_4059173,3,3,0,4,0,198,2,3257,0,2
Group_PBMCs_Sample_PBMCs.1_4068184,3,15,3,7,6,4,15,2569,1,9
Group_PBMCs_Sample_PBMCs.1_4074683,1,104,5,13,5,109,10,21,2,1699
Group_PBMCs_Sample_PBMCs.1_4135861,5,11,0,11,9,398,5,3136,1,3
Group_PBMCs_Sample_PBMCs.1_4137703,2,21,4,4,7,2,39,1335,0,3
Group_PBMCs_Sample_PBMCs.1_4155158,2,156,2,15,6,2,37,21,153,1831
Group_PBMCs_Sample_PBMCs.1_4165526,1,75,8,7,7,121,6,739,25,3
Group_PBMCs_Sample_PBMCs.1_4179221,1,30,3,3,5,2,28,2268,0,7
Group_PBMCs_Sample_PBMCs.1_4253203,2,21,5,4,6,213,4,4074,0,25
Group_PBMCs_Sample_PBMCs.1_4271540,1,6,1,5,3,347,3,1865,1,3
Group_PBMCs_Sample_PBMCs.1_4319724,1,63,1,8,4,2,37,1460,2,3
Group_PBMCs_Sample_PBMCs.1_4375637,1,67,3,13,8,10,127,4457,1,679
Group_PBMCs_Sample_PBMCs.1_4379076,3,42,2,4,5,0,17,1406,1,9
Group_PBMCs_Sample_PBMCs.1_4390405,0,19,0,5,1,4,63,2110,0,6
Group_PBMCs_Sample_PBMCs.1_4409789,0,166,2,392,3,144,8,24,17,59
Group_PBMCs_Sample_PBMCs.1_4437185,9,16,9,7,1064,212,3,13,1,6
Group_PBMCs_Sample_PBMCs.1_4457802,2,92,6,2,4,42,8,15,147,677
