Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PLD1,189.37177026052106,-0.9228142614021289,0.3247774376093744,-2.841374290636662,0.004491955761665951,0.10039207318038655
ADGRE2,249.61669407279547,-0.9158700820924531,0.2745556321388957,-3.3358269686819644,0.0008504607905014115,0.03238982813348403
TFDP1,195.35734563774193,-0.9049801420012071,0.198321269037573,-4.563202657954725,5.037914182601433e-06,0.0006964138901554103
CSTA,268.7899593527625,-0.9021321488789369,0.23662705359498176,-3.8124641082800887,0.0001375882138709015,0.00890505913706638
RNF144B,384.48901021701477,-0.8975024484866511,0.2584310410885919,-3.472889497740255,0.0005148873003857269,0.022173819624688403
IL1A,445.4619125408182,-0.8917705901801923,0.2526596665829616,-3.529532838544203,0.0004162940373152869,0.019025487084976603
GRAMD1A,412.86070417124574,-0.8879809410394193,0.21918388137536501,-4.051305850901969,5.093257838843896e-05,0.00403316469445631
SGK3,199.57950027396956,-0.8740623838544858,0.22019649635596988,-3.969465447086295,7.203405119427937e-05,0.00527166843936174
OTUD1,153.08982169721614,-0.8531125605180072,0.2711198120039258,-3.146625671552377,0.0016516626563380786,0.0511812538211183
TMEM120A,134.84152811878457,-0.8519441256917754,0.24977415680911866,-3.410857778784714,0.0006475886055165787,0.026271918898438884
RBBP8,172.5669360862315,-0.8511161967498267,0.19943994443975047,-4.267531256793664,1.976480847615174e-05,0.0019584651372342573
SERPINB1,704.601227893579,-0.8497416856099809,0.13837490330889973,-6.140865614287507,8.207299711021439e-10,3.863726098538203e-07
VASP,704.7271695987971,-0.8461112008351107,0.2346509870991469,-3.6058284318130913,0.00031115867413781113,0.01555376640321907
PCTP,114.57736828732617,-0.8429443105927091,0.20915470131426947,-4.030243189829745,5.571917543244492e-05,0.004284449518001649
MMP14,563.5751341157561,-0.8416072940269763,0.3036255322868083,-2.771859427263133,0.005573710066899655,0.11305947757078884
CASP1,781.6081177236841,-0.8376277334878263,0.16971565666800997,-4.935477079326602,7.995507067249344e-07,0.0001662544440087123
SLC2A6,687.7558414043202,-0.8326203065364934,0.18284546886237943,-4.553683018326114,5.271476828088037e-06,0.0007111412776397802
PTEN,423.68952390955536,-0.8278917185071877,0.181669570169287,-4.55712928552495,5.185750666436274e-06,0.0007081079294156946
CPM,164.6849125879663,-0.822178734184976,0.29429111239311995,-2.7937599864949143,0.005209913097019793,0.10869732787758281
FCMR,255.85423128315696,-0.8178657865268818,0.1886481195514302,-4.335403864462646,1.4549275047952857e-05,0.0015084095621474827
ARL13B,142.40897617313252,-0.8176745265204158,0.22476732131616553,-3.6378710291708574,0.0002749010130933285,0.014261278180190365
OIP5-AS1,160.21693348085813,-0.8070575872489097,0.22186096294317895,-3.6376727863369376,0.00027511262721453236,0.014261278180190365
MSANTD3,305.343825609445,-0.8069850924914485,0.23251029834854725,-3.4707498903198175,0.000519007173661762,0.022180623372102092
WDR11,100.365369932896,-0.8066692827292398,0.24568561808254527,-3.283339452365566,0.0010258505823283262,0.03669792003300405
OGFRL1,414.7578258980125,-0.7998976769252796,0.28616439277387784,-2.7952383214823824,0.005186146806033826,0.10869732787758281
C15orf39,111.62464429688151,-0.792188197873258,0.2478134701169537,-3.196711613373521,0.0013900382419742667,0.04564298591022248
HLA-DRB6,91.27333438935166,-0.7916002440801101,0.8164463962775211,-0.9695679320642557,0.3322619038120359,0.7952835692568119
PECAM1,93.53419063155299,-0.786678912486477,0.3844156533603039,-2.0464278850506146,0.04071429088720349,0.35628246829727755
NID1,224.46951666770988,-0.7860167491386116,0.20801097262564963,-3.778727339317718,0.00015763190519250256,0.009901598528845455
PRDM8,106.24600025932887,-0.7857768359637982,0.29826970070630243,-2.6344507474379033,0.008427352931992774,0.1483664634898162
TMEM138,279.55605469550704,-0.7855907336105699,0.17278319165389505,-4.54668492977141,5.449748629805669e-06,0.0007264385167611198
NIBAN1,1338.2295305162393,-0.7824157774295736,0.14836224315065513,-5.273685277426453,1.3371113119144538e-07,3.5851009715875646e-05
TGFBR1,156.71600099409227,-0.7755201086361021,0.19280270085027956,-4.022350855127959,5.762014022947415e-05,0.004388930001016477
GAPT,715.1158278568213,-0.7720868250980881,0.3154244163001035,-2.447771273240634,0.014374287336758202,0.2045093968356818
FOSB,382.36340545577133,-0.7717020887098972,0.2874981467905179,-2.6841984803199055,0.007270393006536818,0.13567765082365457
LYN,1511.0694817750539,-0.7600750809972258,0.20679985529444048,-3.67541398863667,0.00023746403486339798,0.012721936834284532
ZBED1,130.4670898587205,-0.7585635582650047,0.22157230816463447,-3.4235485677270217,0.0006180920568264779,0.025258309344109754
SEMA4A,335.46807472335104,-0.7555220069678384,0.2534894203622934,-2.980487335084942,0.002877901381368298,0.0747653405271017
RAB11FIP1,94.39960496315307,-0.7474094504859522,0.2379093718910729,-3.1415721228004188,0.0016804341520048531,0.051269267574927356
OSGIN2,314.063992125876,-0.7447238142357653,0.1998683292079848,-3.726072145531366,0.00019448675903279084,0.011299998785561033
GK,894.8464755164028,-0.7435238760820807,0.15523586079703527,-4.789639921243511,1.670808595990797e-06,0.0002878160592201378
PILRA,518.155870751797,-0.7430153625455064,0.22223817210457816,-3.343329165773858,0.000827796449114991,0.03185167299223558
STMP1,325.8929179144095,-0.7424657870231474,0.1931960412998821,-3.8430693611919287,0.00012150511080713995,0.00805025281483755
OSCAR,120.2484708956033,-0.7392835916801933,0.6721950179188829,-1.0998052231464266,0.2714169961074199,0.744281366091945
KCTD20,267.11930130909917,-0.7390342305167001,0.22495568006036537,-3.285243699196149,0.001018941986603633,0.03656760712820794
HLA-DRA,5359.909194208426,-0.7376505816637737,0.1636838155280506,-4.506557837035281,6.58877320603355e-06,0.0008193744158109895
KLF6,1638.1597655043595,-0.7295020827633258,0.14275822222171516,-5.110053007177055,3.2206843783942725e-07,7.748165138236676e-05
NBPF9,149.720311212811,-0.7282193889177625,0.21791085906226737,-3.34182239495314,0.0008323029783960646,0.03191539879829019
NAGA,101.01034883484472,-0.7265080074095398,0.24868279688790346,-2.9214244672381637,0.003484347522033192,0.0838516659780346
TSHZ1,107.71818090772841,-0.7261099936060668,0.35765280937954125,-2.0302091149954276,0.04233528771664364,0.36604495487510336
